starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	0	0	0
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	13	13	13
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	13
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
Mon Oct 15 16:32:06 2012	1350343926	0	14	14	14
